[2025-07-22T06:44:32.816+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 469, 'MakeName': 'CADILLAC', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.816+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 470, 'MakeName': 'HOLDEN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.817+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 471, 'MakeName': 'OPEL', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.817+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 472, 'MakeName': 'GMC', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.818+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 473, 'MakeName': 'MAZDA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.818+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 474, 'MakeName': 'HONDA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.818+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 475, 'MakeName': 'ACURA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.819+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 476, 'MakeName': 'DODGE', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.819+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 477, 'MakeName': 'CHRYSLER', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.820+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 478, 'MakeName': 'NISSAN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.820+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 480, 'MakeName': 'INFINITI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.821+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 481, 'MakeName': 'MITSUBISHI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.822+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 482, 'MakeName': 'VOLKSWAGEN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.822+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 485, 'MakeName': 'VOLVO', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.823+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 492, 'MakeName': 'FIAT', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.823+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 493, 'MakeName': 'ALFA ROMEO', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.824+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 497, 'MakeName': 'LANCIA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.825+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 498, 'MakeName': 'HYUNDAI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.825+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 499, 'MakeName': 'KIA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.826+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 502, 'MakeName': 'LAMBORGHINI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.826+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 504, 'MakeName': 'SMART', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.827+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 509, 'MakeName': 'SUZUKI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.827+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 515, 'MakeName': 'LEXUS', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.828+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 523, 'MakeName': 'SUBARU', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.828+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 533, 'MakeName': 'MAYBACH', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.829+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 536, 'MakeName': 'PONTIAC', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
