[2025-07-20T22:12:18.172+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2236, 'MakeName': 'MCLAREN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.172+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2376, 'MakeName': 'MYCAR', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.173+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2408, 'MakeName': 'EAGLE', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.173+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2409, 'MakeName': 'PLYMOUTH', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.174+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2665, 'MakeName': 'NJD AUTOMOTIVE LLC', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.174+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 2745, 'MakeName': 'PHOENIX MOTORCARS', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.174+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3176, 'MakeName': 'ROCKET SLED MOTORS', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.175+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3440, 'MakeName': 'VISION INDUSTRIES', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.175+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3540, 'MakeName': 'WARHAWK PERFORMANCE', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.176+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3583, 'MakeName': 'UKEYCHEYMA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.176+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3706, 'MakeName': 'TOTAL ELECTRIC VEHICLES', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.177+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 3766, 'MakeName': 'SPYKER', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
